feature,mean_abs_shap
mid_close_roll_std_10,0.0008735235209366255
execution_ratio_roll_std_30,0.00087006849835664
mid_log_return_1m_roll_std_5,0.000867243256681817
imbalance_1_mean_roll_min_15,0.0008671978597827484
mid_log_return_1m_roll_std_15,0.0008669920336485822
mid_mean_roll_std_3,0.0008647536250134398
imbalance_3_mean_roll_mean_5,0.0008600953250949974
spread_mean_roll_min_15,0.0008554665558506621
imbalance_3_mean_lag_1,0.0008534023458692196
ofi_mean_roll_min_3,0.0008522230151984581
ofi_std_lag_30,0.000851498298238911
bid_depth_mean_roll_max_10,0.0008507574537422908
depth_imbalance_roll_std_30,0.000848810925460944
imbalance_5_mean_roll_std_30,0.0008454828997378315
mid_log_return_1m_lag_1,0.0008433248503785474
relative_spread_mean_lag_15,0.0008414322550689453
n_execution_roll_std_3,0.0008386795853607051
imbalance_3_mean_roll_max_30,0.000837929076303983
bid_depth_mean_roll_max_5,0.0008358391585497452
mid_close_roll_mean_15,0.0008271703411528007
imbalance_10_mean_roll_min_10,0.0008264865304049468
ask_depth_mean_lag_10,0.0008244394130862634
mid_mean_roll_std_15,0.0008222920454185209
imbalance_10_mean_lag_30,0.0008167089283645964
trade_volume_roll_std_3,0.0008137765124158718
imbalance_5_mean_lag_5,0.0008041888215136959
n_execution_roll_max_10,0.0008039384651807495
mid_return_1m_roll_mean_10,0.0008005381295913389
mid_mean_roll_min_10,0.0007996008063861783
price_change_roll_mean_15,0.0007967782927591987
bid_depth_mean_lag_5,0.0007950278248885824
event_count_roll_std_10,0.0007948215628551508
mid_mean_lag_3,0.0007942982373720015
ofi_sum_roll_std_15,0.0007910451634789757
trade_volume_roll_max_10,0.0007898662281181725
trade_volume_roll_std_15,0.0007897021358771243
event_size_total_roll_mean_30,0.0007859746151465983
mid_mean_roll_std_30,0.0007855213505688993
imbalance_1_mean_roll_std_3,0.0007834556931158968
depth_imbalance_roll_min_30,0.0007826539679134624
n_partial_cancel_roll_max_5,0.0007817059562767593
trade_volume_roll_mean_10,0.0007815210426805714
price_change_roll_max_5,0.000773822171514503
n_execution_roll_max_30,0.0007715133637110243
n_new_order_roll_std_3,0.0007686573113132113
imbalance_3_mean_roll_std_5,0.0007682619379595078
mid_open_lag_3,0.0007656090387185716
price_change_roll_mean_10,0.0007650115647185466
imbalance_10_mean_lag_2,0.0007644225017572341
imbalance_3_mean_lag_10,0.0007639914515954167
spread_std,0.0007618008412266107
imbalance_10_mean,0.0007530193307653309
imbalance_1_mean_roll_std_30,0.0007525670113863379
mid_return_1m_lag_1,0.0007523494075470489
imbalance_10_mean_roll_mean_3,0.0007502549213036661
bid_depth_mean,0.0007498058446057216
n_new_order_lag_1,0.0007467719531210229
ask_depth_mean_roll_mean_3,0.0007462060027478164
spread_mean_roll_min_5,0.0007436239254016206
mid_close_roll_min_10,0.0007432108407554865
depth_imbalance_lag_1,0.0007371774081955389
event_count_roll_mean_5,0.0007330104821415194
n_partial_cancel_lag_5,0.0007324127560832009
ofi_sum_roll_std_3,0.0007307983715362597
mid_return_1m_roll_min_3,0.000729798692915958
event_size_total_roll_min_5,0.0007286150356948462
ask_depth_mean,0.0007275580336687138
mid_close_roll_std_30,0.0007255822995715619
n_execution_lag_15,0.0007243613504205022
mid_log_return_1m_roll_min_15,0.0007179923785853856
imbalance_5_mean_lag_1,0.0007177870114257963
n_partial_cancel_roll_std_10,0.0007162654803358521
mid_close_roll_max_5,0.0007136082048980924
ofi_mean_lag_30,0.0007106959443598213
ofi_mean_roll_std_30,0.0007102126017127812
imbalance_1_mean_roll_max_30,0.0007094761020228437
ask_depth_mean_roll_min_5,0.0007050690574791327
mid_close_lag_1,0.0007035108270395825
ofi_sum_lag_30,0.0006990832306204774
mid_close_roll_mean_10,0.0006990425360514361
spread_std_roll_min_3,0.0006975673222110144
ofi_std_roll_min_10,0.000693926239125288
mid_open_roll_std_10,0.0006930247214353062
n_full_deletion_lag_5,0.0006925241154618676
ofi_sum_roll_max_30,0.0006880964856849892
imbalance_1_mean_roll_std_15,0.0006856914683930167
ofi_sum_lag_2,0.0006855165266382365
ofi_sum_lag_15,0.000685041463967122
imbalance_3_mean_roll_std_30,0.0006781312985031972
event_size_total_roll_std_5,0.0006756266103576877
n_execution_roll_mean_5,0.0006749794745773663
ofi_mean_roll_max_15,0.000670324787566397
n_partial_cancel_roll_mean_30,0.0006694727762375766
spread_mean_roll_mean_5,0.0006680830105558501
mid_return_1m_roll_std_30,0.0006662538644426436
n_execution_roll_mean_10,0.0006658828033576724
price_change_lag_2,0.000663695166627857
trade_volume_roll_min_3,0.0006593381799208781
relative_spread_mean_roll_min_30,0.0006581517286313114
trade_volume_roll_min_10,0.0006578224438223004
n_partial_cancel_lag_10,0.0006547688187014469
n_new_order_roll_mean_30,0.0006495072469073884
n_execution_roll_std_15,0.000648160264797498
depth_imbalance_roll_std_3,0.0006480935475541703
imbalance_3_mean_lag_15,0.0006470273407478174
execution_ratio_roll_min_30,0.000642365450508114
relative_spread_mean_roll_mean_3,0.000639195378506591
execution_ratio_lag_15,0.0006276532983144539
mid_log_return_1m_lag_5,0.0006223574010528877
imbalance_5_mean_roll_std_15,0.0006143434062107471
mid_return_1m_lag_15,0.0006109286330495783
mid_close,0.0006024223981185209
mid_open,0.0006004569786991636
imbalance_3_mean_roll_std_15,0.0006003444946310625
event_size_total_roll_max_30,0.000595387861982078
imbalance_1_mean_lag_15,0.0005934692136820182
n_execution_lag_5,0.0005885836097900629
depth_imbalance_roll_min_5,0.0005885285393785862
ofi_std_roll_std_3,0.0005838544608978177
ofi_sum_roll_min_30,0.0005791494328643832
ofi_mean_roll_std_15,0.0005772107868609367
