minute,mid_open,mid_close,mid_mean,spread_mean,spread_std,spread_max,relative_spread_mean,ask_depth_mean,bid_depth_mean,imbalance_1_mean,imbalance_3_mean,imbalance_5_mean,imbalance_10_mean,ofi_sum,ofi_mean,ofi_std,event_count,event_size_total,trade_volume,n_new_order,n_partial_cancel,n_full_deletion,n_execution,price_change,depth_imbalance,execution_ratio,mid_return_1m,mid_log_return_1m,hour,minute_of_hour,clock,mid_ma10
595,30.925,30.915,30.921811079545456,0.0120312499999991,0.004026108339843273,0.019999999999999574,0.00038909005425582133,55617.765625,49611.03409090909,-0.20308177831217175,-0.1265999153553711,-0.053541418677872696,-0.1252200145896523,-37205.0,-52.84801136363637,598.9193833824406,704,407320,9281,351,14,314,25,-0.010000000000001563,-0.05708258148251766,0.03551136363636364,-0.010000000000001563,-0.0003234152680198221,9,55,09:55,30.921000000000003
596,30.915,30.895,30.89636666666667,0.012133333333333522,0.004097977285699611,0.020000000000003126,0.00039271104191673865,64047.482,49835.02066666666,-0.1952256199808467,-0.16253065832235516,-0.12423952199728977,-0.12840509173026485,-54573.0,-36.382,631.6940110726736,1500,830988,19458,744,13,651,92,-0.019999999999999574,-0.12479934143116893,0.06133333333333333,-0.019999999999999574,-0.0006471444975888474,9,56,09:56,30.915999999999997
597,30.895,30.895,30.898043180260455,0.012631939684714594,0.004405177743728213,0.019999999999999574,0.0004088211376261275,56572.28169979438,54490.196024674435,0.07237046511004715,-0.007256384090378893,-0.021687717938841715,-0.03351711070836115,5422.0,3.716244002741604,575.7228572118692,1459,759305,20167,697,15,671,76,0.0,-0.018746976636747858,0.0520904729266621,0.0,0.0,9,57,09:57,30.909999999999997
598,30.895,30.905,30.904970414201184,0.010769230769231603,0.0026662716927087103,0.020000000000003126,0.00034845908018284514,41920.351479289944,38996.02603550296,0.21415609412909042,-0.028259861352284886,-0.03609943964202787,-0.10285022600621983,12962.0,15.3396449704142,379.2987223291656,845,332466,12215,404,9,385,47,0.010000000000001563,-0.036140093434760684,0.05562130177514793,0.010000000000001563,0.0003236245982938257,9,58,09:58,30.906
599,30.905,30.884999999999998,30.896250000000002,0.014259656652360488,0.00494754038319186,0.019999999999999574,0.00046153259411259984,44229.5686695279,38210.49570815451,-0.16470403332509687,-0.1714273583660595,-0.07093841537679488,-0.12058935171756067,-37198.0,-39.912017167381975,530.7148117114625,932,424544,15755,421,6,466,39,-0.020000000000003126,-0.07301150243888983,0.04184549356223176,-0.020000000000003126,-0.0006473539633744529,9,59,09:59,30.901999999999997
600,30.884999999999998,30.814999999999998,30.835212249208027,0.01435269271383379,0.005530401500987589,0.029999999999997584,0.00046543641052559654,32824.95691657867,23607.85575501584,-0.16015343345360894,-0.20512286927287987,-0.1769750550436044,-0.15406547350444266,-121900.0,-25.744456177402324,492.6953700517823,4735,2034700,82237,2342,19,2045,329,-0.07000000000000028,-0.16332875724626533,0.06948257655755016,-0.07000000000000028,-0.002269044733655967,10,0,10:00,30.893
601,30.814999999999998,30.785,30.802363678373382,0.013313308687615035,0.004708005434220901,0.019999999999999574,0.00043221813484153697,32973.961182994455,38181.424676524955,0.22925190141967428,0.19326928851022115,0.07342833322571388,-0.11791186027356612,-47503.0,-21.951478743068392,418.16873733302253,2164,865804,38198,1090,10,922,142,-0.029999999999997584,0.0731843897777673,0.06561922365988909,-0.029999999999997584,-0.0009740260510331389,10,1,10:01,30.883000000000003
602,30.785,30.765,30.783376789366056,0.011774028629856118,0.003821069644059957,0.019999999999999574,0.00038246922947770244,51552.85071574642,54422.67484662577,0.04464321905288487,0.0606054118429523,0.0389611727289098,-0.08535381819287133,-84651.0,-43.27760736196319,580.0019791214149,1956,992787,29994,1003,12,837,104,-0.019999999999999574,0.027080065096636942,0.053169734151329244,-0.019999999999999574,-0.0006498781707198198,10,2,10:02,30.869
603,30.765,30.744999999999997,30.73730596680126,0.012404665769403966,0.0042746272148398165,0.020000000000003126,0.00040355800808248145,62365.55540601166,56620.138178555404,0.0006647697386169283,-0.013133220588938496,-0.05101419282125032,-0.13919739139223294,-59902.0,-26.873934499775686,556.6014030633575,2229,1144675,41832,1099,15,976,139,-0.020000000000003126,-0.04828662215069412,0.0623598026020637,-0.020000000000003126,-0.0006503007870204414,10,3,10:03,30.853
604,30.744999999999997,30.715,30.7166232385004,0.01291145971815966,0.004543510572320012,0.019999999999999574,0.0004203472596370788,60346.19888327573,54276.269609146504,0.038696241674512175,-0.01479335589946921,-0.05450064686347111,-0.06287920635637514,-60549.0,-16.09917575113002,638.4622220966036,3761,2096122,67885,1880,23,1684,174,-0.029999999999997584,-0.052955841502667605,0.046264291411858546,-0.029999999999997584,-0.0009762447895425019,10,4,10:04,30.832
